Time,Beam,RF(kV),BCREU(nA),Control,Duration
Sat Sep 26 14:51:23 CDT 2020,ON,51,10,,
Sat Sep 26 14:51:28 CDT 2020,OFF,,,TIMER,00:05:000
Sat Sep 26 14:51:49 CDT 2020,ON,54,100,,
Sat Sep 26 14:51:54 CDT 2020,OFF,,,TIMER,00:05:000
Sat Sep 26 15:04:54 CDT 2020,ON,51,10,,
Sat Sep 26 15:04:58 CDT 2020,OFF,,,MANUAL,00:04:018
Sat Sep 26 15:05:02 CDT 2020,ON,51,10,,
Sat Sep 26 15:05:05 CDT 2020,OFF,,,TIMER,00:03:000
Sat Sep 26 15:05:27 CDT 2020,ON,54,100,,
Sat Sep 26 15:05:32 CDT 2020,OFF,,,MANUAL,00:05:073
