"R","G","B"
0.0,0.0,0.56
0.0,0.0,0.63
0.0,0.0,0.69
0.0,0.0,0.75
0.0,0.0,0.81
0.0,0.0,0.88
0.0,0.0,0.94
0.0,0.0,1
0.0,0.06,1
0.0,0.13,1
0.0,0.19,1
0.0,0.25,1
0.0,0.31,1
0.0,0.38,1
0.0,0.44,1
0.0,0.5,1
0.0,0.56,1
0.0,0.63,1
0.0,0.69,1
0.0,0.75,1
0.0,0.81,1
0.0,0.88,1
0.0,0.94,1
0.0,1,1
0.06,1,0.94
0.13,1,0.88
0.19,1,0.81
0.25,1,0.75
0.31,1,0.69
0.38,1,0.63
0.44,1,0.56
0.5,1,0.5
0.56,1,0.44
0.63,1,0.38
0.69,1,0.31
0.75,1,0.25
0.81,1,0.19
0.88,1,0.13
0.94,1,0.06
1,1,0
1,0.94,0
1,0.88,0
1,0.81,0
1,0.75,0
1,0.69,0
1,0.63,0
1,0.56,0
1,0.5,0
1,0.44,0
1,0.38,0
1,0.31,0
1,0.25,0
1,0.19,0
1,0.13,0
1,0.06,0
1,0.0,0
0.94,0.0,0
0.88,0.0,0
0.81,0.0,0
0.75,0.0,0
0.69,0.0,0
0.63,0.0,0
0.56,0.0,0
0.5,0.0,0
